gu,dong,매물수,평균주당가격,평균가동률,평균월매출,평균월순수익,평균수익률_임차료대비
중구,을지로6가,3,555000.0,0.4,669483.0,-904185.0,-51.7
동작구,흑석동,17,390000.0,0.2,285089.8,-918668.2,-107.2
용산구,용문동,2,310000.0,0.1,102534.5,-921999.0,-137.9
서초구,반포동,33,491454.5,0.3,490603.4,-939585.6,-88.6
종로구,이화동,3,783333.3,0.3,1130490.7,-952732.0,-61.6
중구,남산동2가,39,425128.2,0.2,314905.4,-965889.0,-104.3
광진구,군자동,9,412222.2,0.1,167763.4,-1080233.9,-116.8
종로구,사직동,1,530000.0,0.2,431441.0,-1080246.0,-94.1
서대문구,홍은동,1,350000.0,0.0,0.0,-1107750.0,-146.2
동작구,본동,2,355000.0,0.0,0.0,-1118575.0,-146.2
용산구,보광동,1,380000.0,0.0,0.0,-1172700.0,-142.5
종로구,명륜1가,2,389000.0,0.0,0.0,-1192185.0,-141.6
중구,장충동1가,1,450000.0,0.0,31176.0,-1294103.0,-132.8
중구,만리동1가,2,486500.0,0.0,36437.0,-1368038.0,-130.1
중구,태평로2가,5,584000.0,0.1,165267.4,-1454546.2,-114.4
동작구,동작동,1,570000.0,0.0,0.0,-1584050.0,-128.4
용산구,한강로3가,26,1226317.3,0.3,1406184.8,-1645196.3,-57.4
종로구,통의동,1,860000.0,0.1,428237.0,-1797795.0,-96.6
성동구,송정동,1,1200000.0,0.0,0.0,-2948000.0,-113.5
종로구,체부동,1,2050000.0,0.0,0.0,-4788250.0,-107.9
종로구,삼청동,5,2171000.0,0.0,86695.2,-4966380.6,-107.2
